"대여일자","평일/주말","평균온도","풍속","풍향","강수량","이용건수"
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,3
2022-02-01,1,-1.3,2.6,270,0.0096,3
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,4
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,3
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,3
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,4
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,4
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,3
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,3
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,3
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,3
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,3
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,3
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,3
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,3
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,3
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,3
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,4
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,5
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,4
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,4
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,3
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,3
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,4
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,3
2022-02-01,1,-1.3,2.6,270,0.0096,4
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,3
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,6
2022-02-01,1,-1.3,2.6,270,0.0096,4
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,3
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,3
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,3
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,5
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,2
2022-02-01,1,-1.3,2.6,270,0.0096,1
2022-02-01,1,-1.3,2.6,270,0.0096,1
