"대여일자","평일/주말","평균온도","풍속","풍향","강수량","이용건수"
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,4
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,12
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,11
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,4
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,6
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,4
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,4
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,4
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,7
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,4
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,9
2022-12-01,0,-5.4,2.4,290,0,11
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,4
2022-12-01,0,-5.4,2.4,290,0,7
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,6
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,8
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,4
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,7
2022-12-01,0,-5.4,2.4,290,0,7
2022-12-01,0,-5.4,2.4,290,0,7
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,10
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,8
2022-12-01,0,-5.4,2.4,290,0,7
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,4
2022-12-01,0,-5.4,2.4,290,0,8
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,6
2022-12-01,0,-5.4,2.4,290,0,7
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,6
2022-12-01,0,-5.4,2.4,290,0,21
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,8
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,9
2022-12-01,0,-5.4,2.4,290,0,4
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,7
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,9
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,5
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,5
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,5
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,8
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,6
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,4
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,8
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,4
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,8
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,4
2022-12-01,0,-5.4,2.4,290,0,7
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,4
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,6
2022-12-01,0,-5.4,2.4,290,0,11
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,6
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,5
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,7
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,6
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,5
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,6
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,8
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,5
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,6
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,4
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,4
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,4
2022-12-01,0,-5.4,2.4,290,0,5
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,4
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,4
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,6
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,4
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,4
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,4
2022-12-01,0,-5.4,2.4,290,0,4
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,9
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,4
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,4
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,4
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,4
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,3
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,2
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
2022-12-01,0,-5.4,2.4,290,0,1
